"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"THG1L"	"THG1L"	0.587425853508857	0.329032923344056	0.0995733481064555	-0.0444336870120727	0.12973673649108	-0.969018652613338	"S02"	0.587425853508857	"IS01"
"SNX10"	"SNX10"	0.553495870665055	-0.226962957079111	-0.538402295409079	-0.468450348687099	0.255076020272614	0.159931944534451	"S02"	0.553495870665055	"IS01"
"B2M"	"B2M"	0.529288272540763	-0.576272792049909	0.381113329909476	-0.505046395848097	0.0800299942885068	0.265714294012616	"S02"	0.529288272540763	"IS01"
"CINP"	"CINP"	0.528750180738281	0.391883109943987	-0.322853553114588	-0.2362595467417	0.395921015629608	-0.851335981635337	"S02"	0.528750180738281	"IS01"
"VIM"	"VIM"	0.484553070960192	-0.494063180971529	0.167750563112682	0.180870960951916	-0.685463703340716	0.42483007257959	"S02"	0.484553070960192	"IS01"
"NEK6"	"NEK6"	0.389574375874641	0.378833686639645	0.232669402637995	-0.501820399278522	0.0446495315030354	-0.584506702831202	"S02"	0.389574375874641	"IS01"
"PPP1R10"	"PPP1R10"	0.284369649138505	-0.0578830992947139	-0.0209553935534003	0.115528570048549	0.0946184991774539	-0.299921142386944	"S02"	0.284369649138505	"IS01"
"CAPG"	"CAPG"	0.141020921715458	1.45984200286327	-0.18435292868377	-0.549877456535743	-0.622052123819055	-0.885400724945555	"S03"	1.45984200286327	"IS02"
"LYZ"	"LYZ"	-0.268012224559218	1.4168932729883	0.580697187822854	0.0717566047826005	-0.609482153868737	-1.25504199063705	"S03"	1.4168932729883	"IS02"
"CTSD"	"CTSD"	-0.0796190822987795	1.40017398236498	0.570070394979803	-0.216409622971282	-1.08050252977708	-0.887366605808342	"S03"	1.40017398236498	"IS02"
"PLA2G7"	"PLA2G7"	-0.0328297517124125	1.3924785469522	0.184363156843551	0.19634760335234	-0.504679440849856	-1.38135578025486	"S03"	1.3924785469522	"IS02"
"ADAMDEC1"	"ADAMDEC1"	-0.269255999011229	1.35453991603367	-0.00740613973383875	0.586579869852191	-0.562411297295644	-1.24675903985654	"S03"	1.35453991603367	"IS02"
