NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	NlPHL
CXCR1	263.882405261986	189.375962356672	149.196251212219	218.418765390941	326.493548319397	257.900319203775	77.5513692201242	72.8427707749436	700.560252729105	218.368669643381	517.647729567596	422.270010342512	84.5547353684377	72.8830872437134	62.2686226479029	54.4873807089679	66.5239691558306	65.4389124077017	268.179138429782	270.47179013547	240.576142629745	5660.97079539981	40.6920225837369
CXCR2	27.0822149146452	12.7008207166913	21.1329068730226	75.281838880441	5.28621263969208	21.1663220294844	7.74781616274163	11.3513451721165	345.741339050535	63.1647682336988	973.164962862896	283.267432574263	409.648188918408	116.515897649033	176.67961258836	65.3162243584607	178.068717074139	49.3865469207195	128.342846347229	57.3562934129115	445.648746543334	17741.224313578	131.817109548823
CXCR5	371.806927245474	302.175656935921	10.2433740994488	33.4225818959221	30.6530054941988	184.687643319568	209.470670550521	2558.78415102419	32.0495645786576	32.7583027323399	16.3151217115698	15.3130115666335	14.7047437995846	17.4223517856975	215.429544113518	14.7038539702309	17.7228026902176	27.2534448626333	13.8826851491544	19.087250466243	56.7270186797435	19.4652872269606	168.847469351706
CXCR6	144.762963202261	139.915647577646	131.652486241897	243.434734660409	94.0039435952141	192.778455539988	1153.19620979545	189.764054052062	1048.40742303038	919.632622517711	177.877956394662	141.904629724318	91.5090089337875	61.2117874664297	69.8875594267951	57.3228668742361	62.4569553450216	95.2182824071223	59.0077460245083	53.6659844165379	87.7842682246048	167.093065019363	195.748424544009
CYP27A1	28.4046772385259	30.2157461313404	41.5290846876071	35.8028435074116	58.2008125300766	19.1976364851331	21.2358260617358	61.4770530773843	89.6723166358463	56.3740460050305	37.7951193849154	30.8930810974497	763.136538370454	9343.97947823949	74.1141419563094	77.0204221214649	811.714575049985	1993.35752166945	735.428754121694	853.166711296516	71.8682038847372	52.9422001298808	16199.8366402187
CYP27B1	848.175450243245	396.477975301501	549.647960561735	126.136978265907	90.9834706341976	114.69804205589	256.229076759221	63.7488035993533	201.891115205808	452.897551816808	98.2202601398635	120.085676071048	98.2449287222193	1190.24414697315	6634.64360167336	148.287301575021	205.139214226666	2260.6740946539	90.2009928767762	234.503908739599	180.098765067549	290.297939888803	3775.02995082558
DACH1	8.23038041504741	6.62380619983193	7.15586080793941	6.20235791861698	27.2983461601777	6.36692315838839	4.05664953306077	5.02682917040577	14.4872712814357	16.7966641709404	34.9790807767901	18.7337063182908	64.1944461947479	7.23551142989737	4.26723521126987	8.31769488234142	5.47275908255369	6.11863309913774	31.0277919876437	11.8279816432258	233.901817344728	81.3321470643067	74.1537421664821
DAPK2	50.9038451045338	53.161647179701	24.9118026810032	37.4031969260115	36.938817166723	54.284854319705	21.3177917229671	20.7308872322789	56.5111136230041	72.4709013360674	76.8570838858127	67.0744429512414	51.3046541348851	36.5307900845199	35.5913754303582	78.4091722633573	51.2066187362922	58.7728170400194	263.950878922593	128.245822389732	1111.26516498545	495.016659059933	264.839036686011
DCSTAMP	38.8146431116942	19.4866273169431	136.250035052293	46.9636324393938	34.7353886150304	19.5834434163409	62.6428721484233	70.5891864594086	78.7110309137082	60.936968085482	40.1745347383038	86.7549512447202	101.509346296822	3174.20259708096	174.677551075062	279.607760231387	926.447633063921	637.826043084332	128.147076241051	253.367801987075	145.19559142763	91.306198204453	794.638464774927
DEFA4	368.020482610497	265.378990412111	216.631288234718	586.33273954906	63.3630553181472	255.926577483448	167.696368107687	91.5220895323348	294.12531548855	43.2294503557897	3193.9386102965	226.563187822601	110.652339417195	60.434688819187	77.5129232444467	90.2724563005223	80.6739856338594	105.560125559459	250.516929298131	175.999388767511	890.131868018089	453.183305359636	31.6113534412943
