"Gene"	"IS01"	"IS02"	"State"	"MaxFC"
"PPP1R7"	"PPP1R7"	0.641084795209778	-0.641084795209778	"IS01"	0.641084795209778
"HMGN5"	"HMGN5"	0.640298714805709	-0.640298714805709	"IS01"	0.640298714805709
"PSMC3"	"PSMC3"	0.639779498402571	-0.639779498402571	"IS01"	0.639779498402571
"TAPBPL"	"TAPBPL"	0.638023807771745	-0.638023807771745	"IS01"	0.638023807771745
"CEACAM16"	"CEACAM16"	0.637973693150174	-0.637973693150174	"IS01"	0.637973693150174
"ATP1A3"	"ATP1A3"	0.635928269016807	-0.635928269016807	"IS01"	0.635928269016807
"ATG3"	"ATG3"	0.635836339403328	-0.635836339403328	"IS01"	0.635836339403328
"GPR25"	"GPR25"	0.631489370435572	-0.631489370435572	"IS01"	0.631489370435572
"RAB13"	"RAB13"	0.631358146030076	-0.631358146030076	"IS01"	0.631358146030076
"NOC2L"	"NOC2L"	0.630940527213215	-0.630940527213215	"IS01"	0.630940527213215
"CD7"	"CD7"	0.630900850817462	-0.630900850817462	"IS01"	0.630900850817462
"NKD1"	"NKD1"	0.627208227689255	-0.627208227689255	"IS01"	0.627208227689255
"BRD9"	"BRD9"	0.621540742015797	-0.621540742015797	"IS01"	0.621540742015797
"GPRC5A"	"GPRC5A"	0.618998500477522	-0.618998500477522	"IS01"	0.618998500477522
"C9orf78"	"C9orf78"	0.615239134060141	-0.615239134060141	"IS01"	0.615239134060141
"EHMT1"	"EHMT1"	0.614916866453991	-0.614916866453991	"IS01"	0.614916866453991
"ATP5I"	"ATP5I"	0.613730565470606	-0.613730565470606	"IS01"	0.613730565470606
"RPL36A"	"RPL36A"	0.613059916170172	-0.613059916170172	"IS01"	0.613059916170172
"SRP68"	"SRP68"	0.608637655946314	-0.608637655946314	"IS01"	0.608637655946314
"IGFL2"	"IGFL2"	0.607298869276505	-0.607298869276505	"IS01"	0.607298869276505
"BTBD11"	"BTBD11"	0.606329295912723	-0.606329295912723	"IS01"	0.606329295912723
"TBC1D10B"	"TBC1D10B"	0.605110327007862	-0.605110327007862	"IS01"	0.605110327007862
"NUBPL"	"NUBPL"	0.602416928556615	-0.602416928556615	"IS01"	0.602416928556615
"CRLF1"	"CRLF1"	0.600717762312042	-0.600717762312042	"IS01"	0.600717762312042
"TPM3"	"TPM3"	0.592368003350387	-0.592368003350387	"IS01"	0.592368003350387
"ZC3H8"	"ZC3H8"	0.586692856598495	-0.586692856598495	"IS01"	0.586692856598495
"PAK1IP1"	"PAK1IP1"	0.585337563996167	-0.585337563996167	"IS01"	0.585337563996167
"HIST1H2BB"	"HIST1H2BB"	0.573000911318147	-0.573000911318147	"IS01"	0.573000911318147
"TNIP3"	"TNIP3"	0.568777842622384	-0.568777842622384	"IS01"	0.568777842622384
"SMC1B"	"SMC1B"	0.56640963994931	-0.56640963994931	"IS01"	0.56640963994931
"NAB2"	"NAB2"	0.566196675353093	-0.566196675353093	"IS01"	0.566196675353093
"CD99L2"	"CD99L2"	0.565947700940072	-0.565947700940072	"IS01"	0.565947700940072
"KDM6B"	"KDM6B"	0.562297656409746	-0.562297656409746	"IS01"	0.562297656409746
"CHMP4B"	"CHMP4B"	0.561242486497361	-0.561242486497361	"IS01"	0.561242486497361
"APOC4"	"APOC4"	0.560786649408938	-0.560786649408938	"IS01"	0.560786649408938
"DBN1"	"DBN1"	0.556430160567878	-0.556430160567878	"IS01"	0.556430160567878
"CFL1"	"CFL1"	0.551553127415505	-0.551553127415505	"IS01"	0.551553127415505
"L3MBTL3"	"L3MBTL3"	0.545404263367152	-0.545404263367152	"IS01"	0.545404263367152
"XRCC6"	"XRCC6"	0.540992838375223	-0.540992838375223	"IS01"	0.540992838375223
"C19orf67"	"C19orf67"	0.539357998424828	-0.539357998424828	"IS01"	0.539357998424828
"DNAJC17"	"DNAJC17"	0.53681313226391	-0.53681313226391	"IS01"	0.53681313226391
"SLC16A8"	"SLC16A8"	0.530590213343224	-0.530590213343224	"IS01"	0.530590213343224
"C19orf53"	"C19orf53"	0.530337765380286	-0.530337765380286	"IS01"	0.530337765380286
"ENO1"	"ENO1"	0.525698588302198	-0.525698588302198	"IS01"	0.525698588302198
"PLEC"	"PLEC"	0.525547068849409	-0.525547068849409	"IS01"	0.525547068849409
"LARP7"	"LARP7"	0.52471310022515	-0.52471310022515	"IS01"	0.52471310022515
"GPATCH4"	"GPATCH4"	0.524321023649909	-0.524321023649909	"IS01"	0.524321023649909
"PSTPIP1"	"PSTPIP1"	0.524143803135923	-0.524143803135923	"IS01"	0.524143803135923
"CSPP1"	"CSPP1"	0.522709883310434	-0.522709883310434	"IS01"	0.522709883310434
"BUB1B"	"BUB1B"	0.522441133187413	-0.522441133187413	"IS01"	0.522441133187413
"ZCCHC12"	"ZCCHC12"	0.52202179257246	-0.52202179257246	"IS01"	0.52202179257246
"ANP32E"	"ANP32E"	0.521365975518326	-0.521365975518326	"IS01"	0.521365975518326
"TBCA"	"TBCA"	0.519507308596331	-0.519507308596331	"IS01"	0.519507308596331
"CYP2W1"	"CYP2W1"	0.510876574474654	-0.510876574474654	"IS01"	0.510876574474654
"CLPS"	"CLPS"	0.509454156490989	-0.509454156490989	"IS01"	0.509454156490989
"TMEM147"	"TMEM147"	0.509276919613323	-0.509276919613323	"IS01"	0.509276919613323
"TMEM101"	"TMEM101"	0.507532875163364	-0.507532875163364	"IS01"	0.507532875163364
"PMVK"	"PMVK"	0.505703436269144	-0.505703436269144	"IS01"	0.505703436269144
"PHRF1"	"PHRF1"	0.49830678477868	-0.49830678477868	"IS01"	0.49830678477868
"NTN3"	"NTN3"	0.497056168613291	-0.497056168613291	"IS01"	0.497056168613291
"CACYBP"	"CACYBP"	0.496138758546646	-0.496138758546646	"IS01"	0.496138758546646
"CCR7"	"CCR7"	0.494584212112643	-0.494584212112643	"IS01"	0.494584212112643
"ZNF616"	"ZNF616"	0.493631427173238	-0.493631427173238	"IS01"	0.493631427173238
"FHIT"	"FHIT"	0.493037196066703	-0.493037196066703	"IS01"	0.493037196066703
"CFDP1"	"CFDP1"	0.490327317324072	-0.490327317324072	"IS01"	0.490327317324072
"WDR43"	"WDR43"	0.4855565324867	-0.4855565324867	"IS01"	0.4855565324867
"IGFL3"	"IGFL3"	0.482554113060899	-0.482554113060899	"IS01"	0.482554113060899
"AL513523.2"	"AL513523.2"	0.47960817879993	-0.47960817879993	"IS01"	0.47960817879993
"OAZ2"	"OAZ2"	0.47186040756699	-0.47186040756699	"IS01"	0.47186040756699
"MYLPF"	"MYLPF"	0.471496126082562	-0.471496126082562	"IS01"	0.471496126082562
"CACNG1"	"CACNG1"	0.469529141343925	-0.469529141343925	"IS01"	0.469529141343925
"FBXL16"	"FBXL16"	0.467919615501549	-0.467919615501549	"IS01"	0.467919615501549
"EIF4E2"	"EIF4E2"	0.466681863150433	-0.466681863150433	"IS01"	0.466681863150433
"TYMS"	"TYMS"	0.466005041699025	-0.466005041699025	"IS01"	0.466005041699025
"TOMM20L"	"TOMM20L"	0.4651178336179	-0.4651178336179	"IS01"	0.4651178336179
"CELA2B"	"CELA2B"	0.463039723595558	-0.463039723595558	"IS01"	0.463039723595558
"FBXW12"	"FBXW12"	0.460924924260879	-0.460924924260879	"IS01"	0.460924924260879
"DEAF1"	"DEAF1"	0.454157554627797	-0.454157554627797	"IS01"	0.454157554627797
"GOLGA3"	"GOLGA3"	0.447024173524833	-0.447024173524833	"IS01"	0.447024173524833
"ITIH2"	"ITIH2"	0.444262797701006	-0.444262797701006	"IS01"	0.444262797701006
"TRAF3IP1"	"TRAF3IP1"	0.443695704810773	-0.443695704810773	"IS01"	0.443695704810773
"NMUR2"	"NMUR2"	0.442640520640588	-0.442640520640588	"IS01"	0.442640520640588
"PTMS"	"PTMS"	0.442252800263218	-0.442252800263218	"IS01"	0.442252800263218
"FRG1"	"FRG1"	0.441831730573496	-0.441831730573496	"IS01"	0.441831730573496
"FUT3"	"FUT3"	0.436095641355009	-0.436095641355009	"IS01"	0.436095641355009
"SRP14"	"SRP14"	0.432067368967502	-0.432067368967502	"IS01"	0.432067368967502
"CKM"	"CKM"	0.43151375706788	-0.43151375706788	"IS01"	0.43151375706788
"NUPR1"	"NUPR1"	0.426069767845738	-0.426069767845738	"IS01"	0.426069767845738
"PDIA4"	"PDIA4"	0.425744993686757	-0.425744993686757	"IS01"	0.425744993686757
"NOL7"	"NOL7"	0.425260631570879	-0.425260631570879	"IS01"	0.425260631570879
