"IS01"	"IS02"
"VPS72__pos"	9.89961152179754	2.22044604925031e-16
"WAS__pos"	9.24217038885619	0.726370037284645
"ZC3H8__pos"	7.17976364716213	2.77492659591398
"ZMAT2__pos"	2.16298126953183	8.4870812031452
"ZNF830__pos"	3.78310817295713	6.03727710463692
"AC074033.1__pos"	9.57445340859765	2.22044604925031e-16
"ADGRF1__pos"	8.32618548819215	3.84757307876881
"AHSA1__pos"	6.3000422661343	3.28268602411812
"AMIGO3__pos"	7.62252819132535	4.21718745276616
"ANP32E__pos"	6.93231156029244	2.86187610793735
"APOC4__pos"	9.43522395138827	2.56068157491866
"ARL6IP4__pos"	0.33574979122314	10.3393152687751
"ATP1A3__pos"	9.09988586226259	2.77678564332557
"BLOC1S1__pos"	2.22044604925031e-16	11.5942263778965
