"IS01"	"IS02"	"IS03"
"ADH5__pos"	4.19941277970097	2.22044604925031e-16	4.82763772963547
"CDH8__pos"	6.39562685301041	2.22044604925031e-16	4.0236403123243
"ZNF200__pos"	5.4761191495367	0.392240882718515	5.05913764704761
"NDUFAF7__pos"	5.38040439123472	2.22044604925031e-16	4.38982652725073
"ATP10A__pos"	5.66308535245626	2.22044604925031e-16	4.90561694236796
"TMEM132A__pos"	6.66905240353055	2.22044604925031e-16	4.25235432486013
"SPINK9__pos"	6.35581293608074	0.272332668841136	4.37561843628411
"P2RY6__pos"	5.90746923534235	2.22044604925031e-16	4.54987090018789
"GYPE__pos"	4.935720549472	0.206959302668444	4.49755879268236
"HILPDA__pos"	5.40406841206175	2.22044604925031e-16	4.52224727542768
"TMEM161B__pos"	4.34667450261715	2.29362310550925	4.13143679861698
"AKIRIN2__pos"	5.17700633760679	0.2290384097136	4.29203681999471
"MAPK10__pos"	4.48052723856113	1.21114062426902	3.7772721592487
"AFG3L2__pos"	5.61982984416454	2.22044604925031e-16	4.15524839376927
"CAPS2__pos"	5.83028414589336	2.22044604925031e-16	5.06272414715594
"PCDHGC3__pos"	6.3569295467009	2.22044604925031e-16	3.44746930122173
"REM2__pos"	5.65220212977631	2.22044604925031e-16	4.81551478429649
"RCE1__pos"	5.41982988688597	2.22044604925031e-16	3.68830628893507
"ADRA1A__pos"	5.491942299172	2.22044604925031e-16	4.92740950220305
"GNA11__pos"	7.0006013852907	2.22044604925031e-16	3.54094207789554
"RPH3A__pos"	5.70674710447614	2.22044604925031e-16	6.6988888278222
"ZNF440__pos"	4.7261312000679	2.22044604925031e-16	4.59255961311581
"C17orf97__pos"	5.82646543956383	2.22044604925031e-16	4.54773989381255
"SAMD4A__pos"	4.3432175754249	5.72936773219193e-15	4.46289163474811
"FRY__pos"	5.43352710300848	2.22044604925031e-16	4.55542915425893
"PPP5D1__pos"	5.6265846616207	0.100047413512197	4.06812428500615
"NID2__pos"	4.73057458201935	2.22044604925031e-16	4.76608697341927
"PLEKHB1__pos"	7.76584509825887	2.22044604925031e-16	4.55225784395746
"GDPD1__pos"	5.917488853244	0.208848130788685	3.50223849928196
"VARS2__pos"	5.25222527588547	0.0942362735776377	3.99285645027615
"USP18__pos"	5.29117697144403	2.22044604925031e-16	4.20665854367093
"TTC23__pos"	4.72187787487755	2.22044604925031e-16	4.64723203413274
"C17orf100__pos"	6.30548997829251	2.22044604925031e-16	3.61838124815756
"METTL25__pos"	6.45446502261172	2.22044604925031e-16	5.66160812887625
"LRRC49__pos"	5.11227054622992	2.22044604925031e-16	4.36935493952442
"WSCD1__pos"	7.29154765389246	2.22044604925031e-16	5.0356269747206
"HMBS__pos"	6.75189948667302	2.22044604925031e-16	5.47088529549052
"PACRGL__pos"	5.102949296044	2.22044604925031e-16	3.88329142617803
"BTBD9__pos"	5.09823432803366	3.68273526794852e-11	4.80123125230615
"SLC23A1__pos"	6.82992471384397	2.22044604925031e-16	5.2172335269287
"SFR1__pos"	7.02445700350189	2.22044604925031e-16	5.27857583279558
"GOLGA8J__pos"	5.63939697914363	2.22044604925031e-16	4.53957198156071
"TACC2__pos"	6.29081249441388	2.22044604925031e-16	4.1142606883009
"HOXD3__pos"	5.71573680791327	2.22044604925031e-16	5.0728685197905
"CYSLTR1__pos"	5.52848568966253	1.23445598076061	4.14612045628679
"PRAM1__pos"	5.48881786842662	2.22044604925031e-16	4.49479496812614
"NPHP1__pos"	5.86178307598639	2.22044604925031e-16	4.06198518047231
"CCNJL__pos"	6.54518444687457	2.22044604925031e-16	5.79155626262312
"GPHN__pos"	6.41471876020166	2.22044604925031e-16	4.1744299901573
"EPHX1__pos"	5.84336122518646	2.22044604925031e-16	3.78525481332214
"MARK2__pos"	6.2889502177633	0.182042930294988	3.89487714268926
"BORCS8.MEF2B__pos"	4.89010429252595	2.22044604925031e-16	4.57416136924245
"PLEKHG3__pos"	4.51552101275628	2.22044604925031e-16	4.82276066352602
"FCGR1B__pos"	4.59738509115742	2.22044604925031e-16	5.24455282866774
"LPCAT3__pos"	4.78922877797281	9.61155443640711e-14	4.3573072431179
"PLXNB1__pos"	4.48741632353883	0.822589215287497	3.95905752465601
"NPC1__pos"	4.7347235274122	2.22044604925031e-16	3.66889416489908
"PZP__pos"	7.27659873391077	0.445459304097565	4.47232178753595
"SIGLEC8__pos"	5.79008635595081	2.22044604925031e-16	3.83015578069592
"PSMG4__pos"	4.94316459748708	2.22044604925031e-16	4.33098630083848
"PTRHD1__pos"	5.48051794109216	2.22044604925031e-16	3.89315765175461
"MED31__pos"	5.40343162726953	2.22044604925031e-16	4.33940601956656
"CATSPERB__pos"	5.89748854285809	0.244421928723862	4.18054412603407
"SPTLC3__pos"	5.23334128527145	2.22044604925031e-16	3.93878386413497
"RBCK1__pos"	4.91031916227298	7.7974258684876e-05	2.95299198953995
